Mod:Item:MetaData, Localized Name
ceramics:clay_wall:6, Lava Bricks Wall
ceramics:clay_wall:7, Rainbow Bricks Wall
ceramics:clay_slab:0, Porcelain Bricks Slab
ceramics:clay_slab:1, Dark Bricks Slab
ceramics:clay_slab:2, Marine Bricks Slab
ceramics:clay_slab:3, Golden Bricks Slab
ceramics:clay_slab:4, Dragon Bricks Slab
ceramics:clay_slab:5, Lava Bricks Slab
ceramics:clay_slab:6, Rainbow Bricks Slab
ceramics:porcelain:0, White Porcelain
ceramics:porcelain:1, Orange Porcelain
ceramics:porcelain:2, Magenta Porcelain
ceramics:porcelain:3, Light Blue Porcelain
ceramics:porcelain:4, Yellow Porcelain
ceramics:porcelain:5, Lime Porcelain
ceramics:porcelain:6, Pink Porcelain
ceramics:porcelain:7, Gray Porcelain
ceramics:porcelain:8, Light Gray Porcelain
ceramics:porcelain:9, Cyan Porcelain
ceramics:porcelain:10, Purple Porcelain
ceramics:porcelain:11, Blue Porcelain
ceramics:porcelain:12, Brown Porcelain
ceramics:porcelain:13, Green Porcelain
ceramics:porcelain:14, Red Porcelain
ceramics:porcelain:15, Black Porcelain
ceramics:porcelain_bricks_stairs, Porcelain Bricks Stairs
ceramics:rainbow_clay:0, Rainbow Porcelain
ceramics:rainbow_clay:1, Rainbow Porcelain
ceramics:rainbow_clay:2, Rainbow Porcelain
ceramics:rainbow_clay:3, Rainbow Porcelain
ceramics:rainbow_clay:4, Rainbow Porcelain
ceramics:rainbow_clay:5, Rainbow Porcelain
ceramics:rainbow_clay:6, Rainbow Porcelain
ceramics:rainbow_clay:7, Rainbow Porcelain
ceramics:rainbow_bricks_stairs, Rainbow Bricks Stairs
ceramics:dark_bricks_stairs, Dark Bricks Stairs
ceramics:golden_bricks_stairs, Golden Bricks Stairs
ceramics:marine_bricks_stairs, Marine Bricks Stairs
ceramics:dragon_bricks_stairs, Dragon Bricks Stairs
ceramics:lava_bricks_stairs, Lava Bricks Stairs
ceramics:clay_barrel_unfired:0, Unfired Clay Barrel
ceramics:clay_barrel_unfired:1, Unfired Clay Barrel Extension
ceramics:clay_barrel_unfired:2, Unfired Porcelain Barrel
ceramics:clay_barrel_unfired:3, Unfired Porcelain Barrel Extension
ceramics:clay_barrel:0, Clay Barrel
ceramics:clay_barrel:1, Clay Barrel Extension
ceramics:clay_barrel_stained:0, White Clay Barrel
ceramics:clay_barrel_stained:1, Orange Clay Barrel
ceramics:clay_barrel_stained:2, Magenta Clay Barrel
ceramics:clay_barrel_stained:3, Light Blue Clay Barrel
ceramics:clay_barrel_stained:4, Yellow Clay Barrel
ceramics:clay_barrel_stained:5, Lime Clay Barrel
ceramics:clay_barrel_stained:6, Pink Clay Barrel
ceramics:clay_barrel_stained:7, Gray Clay Barrel
ceramics:clay_barrel_stained:8, Light Gray Clay Barrel
ceramics:clay_barrel_stained:9, Cyan Clay Barrel
ceramics:clay_barrel_stained:10, Purple Clay Barrel
ceramics:clay_barrel_stained:11, Blue Clay Barrel
ceramics:clay_barrel_stained:12, Brown Clay Barrel
ceramics:clay_barrel_stained:13, Green Clay Barrel
ceramics:clay_barrel_stained:14, Red Clay Barrel
ceramics:clay_barrel_stained:15, Black Clay Barrel
ceramics:clay_barrel_stained_extension:0, White Clay Barrel Extension
ceramics:clay_barrel_stained_extension:1, Orange Clay Barrel Extension
ceramics:clay_barrel_stained_extension:2, Magenta Clay Barrel Extension
ceramics:clay_barrel_stained_extension:3, Light Blue Clay Barrel Extension
ceramics:clay_barrel_stained_extension:4, Yellow Clay Barrel Extension
ceramics:clay_barrel_stained_extension:5, Lime Clay Barrel Extension
ceramics:clay_barrel_stained_extension:6, Pink Clay Barrel Extension
ceramics:clay_barrel_stained_extension:7, Gray Clay Barrel Extension
ceramics:clay_barrel_stained_extension:8, Light Gray Clay Barrel Extension
ceramics:clay_barrel_stained_extension:9, Cyan Clay Barrel Extension
ceramics:clay_barrel_stained_extension:10, Purple Clay Barrel Extension
ceramics:clay_barrel_stained_extension:11, Blue Clay Barrel Extension
ceramics:clay_barrel_stained_extension:12, Brown Clay Barrel Extension
ceramics:clay_barrel_stained_extension:13, Green Clay Barrel Extension
ceramics:clay_barrel_stained_extension:14, Red Clay Barrel Extension
ceramics:clay_barrel_stained_extension:15, Black Clay Barrel Extension
ceramics:porcelain_barrel:0, White Porcelain Barrel
ceramics:porcelain_barrel:1, Orange Porcelain Barrel
ceramics:porcelain_barrel:2, Magenta Porcelain Barrel
ceramics:porcelain_barrel:3, Light Blue Porcelain Barrel
ceramics:porcelain_barrel:4, Yellow Porcelain Barrel
ceramics:porcelain_barrel:5, Lime Porcelain Barrel
ceramics:porcelain_barrel:6, Pink Porcelain Barrel
ceramics:porcelain_barrel:7, Gray Porcelain Barrel
ceramics:porcelain_barrel:8, Light Gray Porcelain Barrel
ceramics:porcelain_barrel:9, Cyan Porcelain Barrel
ceramics:porcelain_barrel:10, Purple Porcelain Barrel
ceramics:porcelain_barrel:11, Blue Porcelain Barrel
ceramics:porcelain_barrel:12, Brown Porcelain Barrel
ceramics:porcelain_barrel:13, Green Porcelain Barrel
ceramics:porcelain_barrel:14, Red Porcelain Barrel
ceramics:porcelain_barrel:15, Black Porcelain Barrel
ceramics:porcelain_barrel_extension:0, White Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:1, Orange Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:2, Magenta Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:3, Light Blue Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:4, Yellow Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:5, Lime Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:6, Pink Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:7, Gray Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:8, Light Gray Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:9, Cyan Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:10, Purple Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:11, Blue Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:12, Brown Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:13, Green Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:14, Red Porcelain Barrel Extension
ceramics:porcelain_barrel_extension:15, Black Porcelain Barrel Extension
ceramics:faucet, Porcelain Faucet
chisel:chisel_iron, Chisel
chisel:chisel_diamond, Diamond Chisel
chisel:chisel_hitech, iChisel
chisel:offsettool, Ender Offset Wand
crossroads:master_axis, Master Axis
crossroads:grindstone, Horse Grindstone
crossroads:heating_crucible, Heating Crucible
crossroads:fluid_tube, Fluid Tube
crossroads:steam_boiler, Steam Boiler
crossroads:rotary_pump, Rotary Pump
crossroads:steam_turbine, Steam Turbine
crossroads:block_salt, Block of Salt
crossroads:brazier, Brazier
crossroads:fluid_void, Fluid Void
crossroads:heat_exchanger, Heat Exchanger
crossroads:insulated_heat_exchanger, Insulated Heat Exchanger
crossroads:fluid_tank, Fluid Tank
crossroads:coal_heater, Coal Heater
crossroads:heating_chamber, Heating Chamber
crossroads:salt_reactor, Salt Reactor
crossroads:fluid_cooling_chamber, Fluid Cooling Chamber
crossroads:slotted_chest, Slotted Chest
crossroads:sorting_hopper, Sorting Hopper
crossroads:item_chute, Item Chute
crossroads:item_chute_port, Item Chute Port
crossroads:radiator, Radiator
crossroads:rotary_drill, Rotary Drill
crossroads:fat_collector, Fat Collector
crossroads:fat_congealer, Fat Congealer
crossroads:redstone_fluid_tube, Redstone Fluid Tube
crossroads:water_centrifuge, Water Centrifuge
crossroads:arcane_extractor, Arcane Extractor
crossroads:small_quartz_stabilizer, Small Quartz Stabilizer
crossroads:large_quartz_stabilizer, Large Quartz Stabilizer
crossroads:crystalline_prism, Crystalline Prism
crossroads:arcane_reflector, Arcane Reflector
crossroads:lens_holder, Lens Holder
crossroads:block_pure_quartz, Block of Pure Quartz
crossroads:beam_splitter, Beam Splitter
crossroads:color_chart, Color Chart
crossroads:fertile_soil:0, Wheat Fertile Soil
crossroads:fertile_soil:1, Potato Fertile Soil
crossroads:fertile_soil:2, Carrot Fertile Soil
crossroads:fertile_soil:3, Beetroot Fertile Soil
crossroads:fertile_soil:4, Oak Sapling Fertile Soil
crossroads:fertile_soil:5, Birch Sapling Fertile Soil
crossroads:fertile_soil:6, Spruce Sapling Fertile Soil
crossroads:fertile_soil:7, Jungle Sapling Fertile Soil
crossroads:fertile_soil:8, Acacia Sapling Fertile Soil
crossroads:fertile_soil:9, Dark Oak Sapling Fertile Soil
crossroads:multi_piston, Multi-Piston
crossroads:multi_piston_sticky, Sticky Multi-Piston
crossroads:beam_splitter_basic, Basic Beam Splitter
crossroads:master_axis_crystal, Crystalline Master Axis
crossroads:axle, Axle
crossroads:ratiator, Ratiator
crossroads:beacon_harness, Beacon Harness
crossroads:fat_feeder, Fat Feeder
crossroads:chunk_unlocker, Chunk Unlocker
crossroads:rate_manipulator, Rate Manipulator
crossroads:flux_manipulator, Flux Manipulator
crossroads:flux_reader_axis, Flux-Regulated Master Axis
crossroads:multiplication_axis, Multiplication Axis
crossroads:addition_axis, Addition Axis
crossroads:equals_axis, Equals Axis
crossroads:greater_than_axis, Greater Than Axis
crossroads:less_than_axis, Less Than Axis
crossroads:redstone_axis, Redstone Axis
crossroads:square_root_axis, Square Root Axis
crossroads:mechanical_beam_splitter, Mechanical Beam Splitter
crossroads:cage_charger, Cage Charger
crossroads:hamster_wheel, Hamster Wheel
crossroads:fluid_splitter, Redstone Fluid Splitter
crossroads:basic_fluid_splitter, Basic Fluid Splitter
crossroads:copshowium_creation_chamber, Copshowium Creation Chamber
crossroads:sin_axis, Sin Axis
crossroads:cos_axis, Cos Axis
crossroads:arcsin_axis, ArcSin Axis
crossroads:arccos_axis, ArcCos Axis
crossroads:gateway_frame, Gateway Frame
crossroads:redstone_keyboard, Redstone Keyboard
crossroads:detailed_crafter, Detailed Crafter
crossroads:prototyping_table, Prototyping Table
crossroads:prototype, Prototype
crossroads:prototype_port, Prototype Port
crossroads:mechanical_arm, Mechanical Arm
crossroads:redstone_registry, Redstone Registry
crossroads:heat_cable_quartz_wool, Wool-Quartz Heat Cable
crossroads:redstone_heat_cable_quartz_wool, Redstone Wool-Quartz Heat Cable
crossroads:heat_cable_quartz_slime, Slime-Quartz Heat Cable
crossroads:redstone_heat_cable_quartz_slime, Redstone Slime-Quartz Heat Cable
crossroads:heat_cable_quartz_dirt, Dirt-Quartz Heat Cable
crossroads:redstone_heat_cable_quartz_dirt, Redstone Dirt-Quartz Heat Cable
crossroads:heat_cable_quartz_ice, Ice-Quartz Heat Cable
crossroads:redstone_heat_cable_quartz_ice, Redstone Ice-Quartz Heat Cable
crossroads:heat_cable_quartz_obsidian, Obsidian-Quartz Heat Cable
crossroads:redstone_heat_cable_quartz_obsidian, Redstone Obsidian-Quartz Heat Cable
crossroads:heat_cable_iron_wool, Wool-Iron Heat Cable
crossroads:redstone_heat_cable_iron_wool, Redstone Wool-Iron Heat Cable
crossroads:heat_cable_iron_slime, Slime-Iron Heat Cable
crossroads:redstone_heat_cable_iron_slime, Redstone Slime-Iron Heat Cable
crossroads:heat_cable_iron_dirt, Dirt-Iron Heat Cable
crossroads:redstone_heat_cable_iron_dirt, Redstone Dirt-Iron Heat Cable
crossroads:heat_cable_iron_ice, Ice-Iron Heat Cable
crossroads:redstone_heat_cable_iron_ice, Redstone Ice-Iron Heat Cable
crossroads:heat_cable_iron_obsidian, Obsidian-Iron Heat Cable
crossroads:redstone_heat_cable_iron_obsidian, Redstone Obsidian-Iron Heat Cable
crossroads:heat_cable_copper_wool, Wool-Copper Heat Cable
crossroads:redstone_heat_cable_copper_wool, Redstone Wool-Copper Heat Cable
crossroads:heat_cable_copper_slime, Slime-Copper Heat Cable
crossroads:redstone_heat_cable_copper_slime, Redstone Slime-Copper Heat Cable
crossroads:heat_cable_copper_dirt, Dirt-Copper Heat Cable
crossroads:redstone_heat_cable_copper_dirt, Redstone Dirt-Copper Heat Cable
crossroads:heat_cable_copper_ice, Ice-Copper Heat Cable
crossroads:redstone_heat_cable_copper_ice, Redstone Ice-Copper Heat Cable
crossroads:heat_cable_copper_obsidian, Obsidian-Copper Heat Cable
crossroads:redstone_heat_cable_copper_obsidian, Redstone Obsidian-Copper Heat Cable
crossroads:heat_cable_diamond_wool, Wool-Diamond Heat Cable
crossroads:redstone_heat_cable_diamond_wool, Redstone Wool-Diamond Heat Cable
crossroads:heat_cable_diamond_slime, Slime-Diamond Heat Cable
crossroads:redstone_heat_cable_diamond_slime, Redstone Slime-Diamond Heat Cable
crossroads:heat_cable_diamond_dirt, Dirt-Diamond Heat Cable
crossroads:redstone_heat_cable_diamond_dirt, Redstone Dirt-Diamond Heat Cable
crossroads:heat_cable_diamond_ice, Ice-Diamond Heat Cable
crossroads:redstone_heat_cable_diamond_ice, Redstone Ice-Diamond Heat Cable
crossroads:heat_cable_diamond_obsidian, Obsidian-Diamond Heat Cable
crossroads:redstone_heat_cable_diamond_obsidian, Redstone Obsidian-Diamond Heat Cable
crossroads:gear_iron, Iron Gear
crossroads:large_gear_iron, Large Iron Gear
crossroads:toggle_gear_iron, Iron Toggle Gear
crossroads:gear_gold, Gold Gear
crossroads:large_gear_gold, Large Gold Gear
crossroads:toggle_gear_gold, Gold Toggle Gear
crossroads:gear_copper, Copper Gear
crossroads:large_gear_copper, Large Copper Gear
crossroads:toggle_gear_copper, Copper Toggle Gear
crossroads:gear_tin, Tin Gear
crossroads:large_gear_tin, Large Tin Gear
crossroads:toggle_gear_tin, Tin Toggle Gear
crossroads:gear_bronze, Bronze Gear
crossroads:large_gear_bronze, Large Bronze Gear
crossroads:toggle_gear_bronze, Bronze Toggle Gear
crossroads:gear_copshowium, Copshowium Gear
crossroads:large_gear_copshowium, Large Copshowium Gear
crossroads:toggle_gear_copshowium, Copshowium Toggle Gear
crossroads:ingot_tin, Tin Ingot
crossroads:block_tin, Tin Block
crossroads:nugget_tin, Tin Nugget
crossroads:ore_tin, Tin Ore
crossroads:ingot_copper, Copper Ingot
crossroads:block_copper, Copper Block
crossroads:nugget_copper, Copper Nugget
crossroads:ore_copper, Copper Ore
crossroads:ore_native_copper, Native Copper Ore
crossroads:ingot_bronze, Bronze Ingot
crossroads:block_bronze, Bronze Block
crossroads:nugget_bronze, Bronze Nugget
crossroads:gem_ruby, Ruby
crossroads:block_ruby, Block of Ruby
crossroads:ore_ruby, Ruby Ore
crossroads:ingot_copshowium, Copshowium Ingot
crossroads:block_copshowium, Block of Copshowium
crossroads:nugget_copshowium, Copshowium Nugget
crossroads:debug_gear_writer, Debug Gear Writer
crossroads:hand_crank, Hand Crank
crossroads:debug_heat_writer, Debug Heat Writer
crossroads:dust_copper, Copper Dust
crossroads:dust_salt, Salt
crossroads:obsidian_cutting_kit, Obsidian Cutting Kit
crossroads:mashed_potato, Mashed Potatoes
crossroads:thermometer, Thermometer
crossroads:fluid_gauge, Fluid Gauge
crossroads:speedometer, Speed-O-Meter
crossroads:omnimeter, OmniMeter
crossroads:vacuum, Vacuum Cleaner
crossroads:magenta_bread, Magenta Bread
crossroads:candle_lilypad, Candle Lilypad
crossroads:edible_blob, Edible Blob
crossroads:diamond_wire, Diamond Wiring
crossroads:rain_idol, Rain Idol
crossroads:pure_quartz, Pure Quartz
crossroads:luminescent_quartz, Luminescent Quartz
crossroads:lens_array, Crystal Lens Array
crossroads:invis_item, Invisible Item
crossroads:squid_helmet, Squid Helmet
crossroads:pig_zombie_chestplate, Zombie Pigman Chestplate
crossroads:cow_leggings, Cow Leggings
crossroads:chicken_boots, Chicken Boots
crossroads:chaos_rod, Rod of Discord
crossroads:void_crystal, Void Crystal
crossroads:module_goggles, Modular Goggles
crossroads:staff_technomancy, Beam Staff
crossroads:beam_cage, Beam Cage
crossroads:prototype_pistol, Prototyped Pistol
crossroads:prototype_watch, Prototyped Watch
earthworks:block_adobe, Adobe
earthworks:block_chalk, Chalk
earthworks:block_cinder, Cinder Blocks
earthworks:block_cob, Cob
earthworks:block_concrete, Concrete
earthworks:block_cordwood, Cordwood
earthworks:block_dry_stone, Dry Fitted Stone
earthworks:block_gabion_gravel, Gravel Gabion
earthworks:block_gabion_sand, Sand Gabion
earthworks:block_gabion_dirt, Dirt Gabion
earthworks:block_mud, Mud
earthworks:block_plaster, Lath and Plaster
earthworks:block_rammed_earth, Rammed Earth
earthworks:block_slate, Blue Slate
earthworks:block_slate_green, Green Slate
earthworks:block_slate_purple, Purple Slate
earthworks:block_slate_slab, Polished Blue Slate
earthworks:block_slate_slab_green, Polished Green Slate
earthworks:block_slate_slab_purple, Polished Purple Slate
earthworks:block_slate_shingle, Blue Slate Shingles
earthworks:block_slate_shingle_verte, Green Slate Shingles
earthworks:block_slate_shingle_purple, Purple Slate Shingles
earthworks:block_slate_tile, Blue Slate Tiles
earthworks:block_slate_tile_verte, Green Slate Tiles
earthworks:block_slate_tile_purple, Purple Slate Tiles
earthworks:block_timber, Oak Timber
earthworks:block_timber_birch, Birch Timber
earthworks:block_timber_spruce, Spruce Timber
earthworks:block_timber_jungle, Jungle Timber
earthworks:block_timber_acacia, Acacia Timber
earthworks:block_timber_dark_oak, Dark Oak Timber
earthworks:block_wattle, Wattle and Daub
earthworks:block_wicker, Wicker
earthworks:block_wood_shingle:0, Oak Wood Shakes
earthworks:block_wood_shingle:1, Spruce Wood Shakes
earthworks:block_wood_shingle:2, Birch Wood Shakes
earthworks:block_wood_shingle:3, Jungle Wood Shakes
earthworks:block_wood_shingle:4, Acacia Wood Shakes
earthworks:block_wood_shingle:5, Dark Oak Wood Shakes
earthworks:fence_planks_vert_oak, Vertical Oak Fence
earthworks:fence_planks_vert_spruce, Vertical Spruce Fence
earthworks:fence_planks_vert_birch, Vertical Birch Fence
earthworks:fence_planks_vert_jungle, Vertical Jungle Fence
earthworks:fence_planks_vert_acacia, Vertical Acacia Fence
earthworks:fence_planks_vert_dark_oak, Vertical Dark Oak Fence
earthworks:itemslab_adobe, Adobe Slab
earthworks:itemslab_chalk, Chalk Slab
earthworks:itemslab_cinder, Cinder Block Slab
earthworks:itemslab_cob, Cob Slab
earthworks:itemslab_concrete, Concrete Slab
earthworks:itemslab_cordwood, Cordwood Slab
earthworks:itemslab_dry_stone, Dry Fitted Stone Slab
earthworks:itemslab_gabion_gravel, Gravel Gabion Slab
earthworks:itemslab_gabion_sand, Sand Gabion Slab
earthworks:itemslab_gabion_dirt, Dirt Gabion Slab
earthworks:itemslab_mud, Mud Slab
earthworks:itemslab_planks_vert_oak, Vertical Oak Wood Slab
earthworks:itemslab_planks_vert_spruce, Vertical Spruce Wood Slab
earthworks:itemslab_planks_vert_birch, Vertical Birch Wood Slab
earthworks:itemslab_planks_vert_jungle, Vertical Jungle Wood Slab
earthworks:itemslab_planks_vert_acacia, Vertical Acacia Wood Slab
earthworks:itemslab_planks_vert_dark_oak, Vertical Dark Oak Wood Slab
earthworks:itemslab_plaster, Lath and Plaster Slab
earthworks:itemslab_rammed_earth, Rammed Earth Slab
earthworks:itemslab_slate, Blue Slate Slab
earthworks:itemslab_slate_green, Green Slate Slab
earthworks:itemslab_slate_purple, Purple Slate Slab
earthworks:itemslab_slate_slab, Polished Blue Slate Slab
earthworks:itemslab_slate_slab_green, Polished Green Slate Slab
earthworks:itemslab_slate_slab_purple, Polished Purple Slate Slab
earthworks:itemslab_slate_shingle, Blue Slate Shingles Slab
earthworks:itemslab_slate_shingle_verte, Green Slate Shingles Slab
earthworks:itemslab_slate_shingle_purple, Purple Slate Shingles Slab
earthworks:itemslab_slate_tile, Blue Slate Tiles Slab
earthworks:itemslab_slate_tile_verte, Green Slate Tiles Slab
earthworks:itemslab_slate_tile_purple, Purple Slate Tiles Slab
earthworks:itemslab_timber, Oak Timber Slab
earthworks:itemslab_timber_birch, Birch Timber Slab
earthworks:itemslab_timber_spruce, Spruce Timber Slab
earthworks:itemslab_timber_jungle, Jungle Timber Slab
earthworks:itemslab_timber_acacia, Acacia Timber Slab
earthworks:itemslab_timber_dark_oak, Dark Oak Timber Slab
earthworks:itemslab_wattle, Wattle and Daub Slab
earthworks:itemslab_wicker, Wicker Slab
earthworks:itemslab_wood_shingle_oak, Oak Wood Shakes Slab
earthworks:itemslab_wood_shingle_spruce, Spruce Wood Shakes Slab
earthworks:itemslab_wood_shingle_birch, Birch Wood Shakes Slab
earthworks:itemslab_wood_shingle_jungle, Jungle Wood Shakes Slab
earthworks:itemslab_wood_shingle_acacia, Acacia Wood Shakes Slab
earthworks:itemslab_wood_shingle_dark_oak, Dark Oak Wood Shakes Slab
earthworks:stair_adobe, Adobe Stairs
earthworks:stair_chalk, Chalk Stairs
earthworks:stair_cinder, Cinder Block Stairs
earthworks:stair_cob, Cob Stairs
earthworks:stair_concrete, Concrete Stairs
earthworks:stair_cordwood, Cordwood Stairs
earthworks:stair_dry_stone, Dry Fitted Stone Stairs
earthworks:stair_gabion_gravel, Gravel Gabion Stairs
earthworks:stair_gabion_sand, Sand Gabion Stairs
earthworks:stair_gabion_dirt, Dirt Gabion Stairs
earthworks:stair_mud, Mud Stairs
earthworks:stair_planks_vert_oak, Vertical Oak Wood Stairs
earthworks:stair_planks_vert_spruce, Vertical Spruce Wood Stairs
earthworks:stair_planks_vert_birch, Vertical Birch Wood Stairs
earthworks:stair_planks_vert_jungle, Vertical Jungle Wood Stairs
earthworks:stair_planks_vert_acacia, Vertical Acacia Wood Stairs
earthworks:stair_planks_vert_dark_oak, Vertical Dark Oak Wood Stairs
earthworks:stair_plaster, Lath and Plaster Stairs
earthworks:stair_rammed_earth, Rammed Earth Stairs
earthworks:stair_slate, Blue Slate Stairs
earthworks:stair_slate_green, Green Slate Stairs
earthworks:stair_slate_purple, Purple Slate Stairs
earthworks:stair_slate_slab, Polished Blue Slate Stairs
earthworks:stair_slate_slab_green, Polished Green Slate Stairs
earthworks:stair_slate_slab_purple, Polished Purple Slate Stairs
earthworks:stair_slate_shingle, Blue Slate Shingles Stairs
earthworks:stair_slate_shingle_verte, Green Slate Shingles Stairs
earthworks:stair_slate_shingle_purple, Purple Slate Shingles Stairs
earthworks:stair_slate_tile, Blue Slate Tiles Stairs
earthworks:stair_slate_tile_verte, Green Slate Tiles Stairs
earthworks:stair_slate_tile_purple, Purple Slate Tiles Stairs
earthworks:stair_timber, Oak Timber Stairs
earthworks:stair_timber_birch, Birch Timber Stairs
earthworks:stair_timber_spruce, Spruce Timber Stairs
earthworks:stair_timber_jungle, Jungle Timber Stairs
earthworks:stair_timber_acacia, Acacia Timber Stairs
earthworks:stair_timber_dark_oak, Dark Oak Timber Stairs
earthworks:stair_wattle, Wattle and Daub Stairs
earthworks:stair_wicker, Wicker Stairs
earthworks:stair_wood_shingle_oak, Oak Wood Shakes Stairs
earthworks:stair_wood_shingle_spruce, Spruce Wood Shakes Stairs
earthworks:stair_wood_shingle_birch, Birch Wood Shakes Stairs
earthworks:stair_wood_shingle_jungle, Jungle Wood Shakes Stairs
earthworks:stair_wood_shingle_acacia, Acacia Wood Shakes Stairs
earthworks:stair_wood_shingle_dark_oak, Dark Oak Wood Shakes Stairs
earthworks:wall_adobe, Adobe Wall
earthworks:wall_chalk, Chalk Wall
earthworks:wall_cinder, Cinder Block Wall
earthworks:wall_cob, Cob Wall
earthworks:wall_concrete, Concrete Wall
earthworks:wall_cordwood, Cordwood Wall
earthworks:wall_dry_stone, Dry Fitted Stone Wall
earthworks:wall_gabion_gravel, Gravel Gabion Wall
earthworks:wall_gabion_sand, Sand Gabion Wall
earthworks:wall_gabion_dirt, Dirt Gabion Wall
earthworks:wall_mud, Mud Wall
earthworks:wall_plaster, Lath and Plaster Wall
earthworks:wall_rammed_earth, Rammed Earth Wall
earthworks:wall_slate, Blue Slate Wall
earthworks:wall_slate_green, Green Slate Wall
earthworks:wall_slate_purple, Purple Slate Wall
earthworks:wall_slate_slab, Polished Blue Slate Wall
earthworks:wall_slate_slab_green, Polished Green Slate Wall
earthworks:wall_slate_slab_purple, Polished Purple Slate Wall
earthworks:wall_slate_shingle, Blue Slate Shingles Wall
earthworks:wall_slate_shingle_verte, Green Slate Shingles Wall
earthworks:wall_slate_shingle_purple, Purple Slate Shingles Wall
earthworks:wall_slate_tile, Blue Slate Tiles Wall
earthworks:wall_slate_tile_verte, Green Slate Tiles Wall
earthworks:wall_slate_tile_purple, Purple Slate Tiles Wall
earthworks:wall_timber, Oak Timber Wall
earthworks:wall_timber_birch, Birch Timber Wall
earthworks:wall_timber_spruce, Spruce Timber Wall
earthworks:wall_timber_jungle, Jungle Timber Wall
earthworks:wall_timber_acacia, Acacia Timber Wall
earthworks:wall_timber_dark_oak, Dark Oak Timber Wall
earthworks:wall_wattle, Wattle and Daub Wall
earthworks:wall_wicker, Wicker Wall
earthworks:wall_wood_shingle_oak, Oak Wood Shakes Wall
earthworks:wall_wood_shingle_spruce, Spruce Wood Shakes Wall
earthworks:wall_wood_shingle_birch, Birch Wood Shakes Wall
earthworks:wall_wood_shingle_jungle, Jungle Wood Shakes Wall
earthworks:wall_wood_shingle_acacia, Acacia Wood Shakes Wall
earthworks:wall_wood_shingle_dark_oak, Dark Oak Wood Shakes Wall
earthworks:block_reed, Reed
earthworks:block_thatch, Thatch
earthworks:itemslab_reed, Reed Slab
earthworks:itemslab_thatch, Thatch Slab
earthworks:stair_reed, Reed Stairs
earthworks:stair_thatch, Thatch Stairs
earthworks:wall_reed, Reed Wall
earthworks:wall_thatch, Thatch Wall
earthworks:item_adobe, Adobe Brick
earthworks:item_chalk, Chalk Dust
earthworks:item_cob, Cob Ball
earthworks:item_lime_plaster, Lime Plaster
earthworks:item_mud, Mud Ball
earthworks:item_quicklime, Quicklime
earthworks:item_slaked_lime, Slaked Lime
earthworks:item_timber, Timber Framing
earthworks:tool_square, Square
earthworks:tool_hand_axe, Handaxe
earthworks:tool_adz, Adz
earthworks:tool_compass, Compass
earthworks:tool_froe, Froe
earthworks:tool_hand_planer, Planer
earthworks:tool_level, Level
earthworks:tool_saw, Saw
earthworks:tool_wood_hammer, Wood Hammer
earthworks:tool_stone_hammer, Stone Hammer
earthworks:tool_iron_hammer, Iron Hammer
earthworks:tool_gold_hammer, Gold Hammer
earthworks:tool_diamond_hammer, Diamond Hammer
earthworks:item_dirt, Dirt Ball
earthworks:item_sand, Sand
earthworks:daub_cob_arrow0, Timber Framed Wattle and Daub
earthworks:daub_cob_arrow1, Timber Framed Wattle and Daub
earthworks:daub_cob_arrow2, Timber Framed Wattle and Daub
earthworks:daub_cob_arrow3, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor0, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor1, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor2, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor3, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor4, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor5, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor6, Timber Framed Wattle and Daub
earthworks:daub_cob_barndoor7, Timber Framed Wattle and Daub
earthworks:daub_cob_bottom_l, Timber Framed Wattle and Daub
earthworks:daub_cob_bottom, Timber Framed Wattle and Daub
earthworks:daub_cob_bottom_r, Timber Framed Wattle and Daub
earthworks:daub_cob_left, Timber Framed Wattle and Daub
earthworks:daub_cob_parallel_hor, Timber Framed Wattle and Daub
earthworks:daub_cob_parallel_vert, Timber Framed Wattle and Daub
earthworks:daub_cob_right, Timber Framed Wattle and Daub
earthworks:daub_cob_slash_back, Timber Framed Wattle and Daub
earthworks:daub_cob_slash, Timber Framed Wattle and Daub
earthworks:daub_cob_square, Timber Framed Wattle and Daub
earthworks:daub_cob_square_x, Timber Framed Wattle and Daub
